ClusterID	ClusterName	ClusterIDName	Hierarchy	Hierarchy_version08112020	CellOntology
Ref1.1	Ref1:CD34+ pre-B	Ref1:1:CD34+ pre-B	CD34	CD34	precursor B cell
Ref1.13	Ref1:CD34+ Gran	Ref1:13:CD34+ Gran	CD34	CD34	"CD34-positive, CD38-positive granulocyte monocyte progenitor"
Ref1.14	Ref1:CD34+ MKP	Ref1:14:CD34+ MKP	CD34	CD34	megakaryocyte progenitor cell
Ref1.15	Ref1:CD34+ MEP	Ref1:15:CD34+ MEP	CD34	CD34	"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell"
Ref1.16	Ref1:CD34+ ERP-Early	Ref1:16:CD34+ ERP-Early	CD34	CD34	erythroid progenitor cell
Ref1.17	Ref1:CD34+ ERP	Ref1:17:CD34+ ERP	CD34	CD34	erythroid progenitor cell
Ref1.18	Ref1:CD34+ Eo/B/Mast	Ref1:18:CD34+ Eo/B/Mast	CD34	CD34	"common myeloid progenitor, CD34-positive"
Ref1.2	Ref1:CD34+ pre-PC	Ref1:2:CD34+ pre-PC	CD34	CD34	plasmablast
Ref1.24	Ref1:Pro-B	Ref1:24:Pro-B	CD34	CD34	pro-B cell
Ref1.27	Ref1:Pre-Dendritic	Ref1:27:Pre-Dendritic	CD34	CD34	pre-conventional dendritic cell
Ref1.3	Ref1:CD34+ CLP	Ref1:3:CD34+ CLP	CD34	CD34	"CD34-positive, CD38-positive common lymphoid progenitor"
Ref1.4	Ref1:CD34+ pre-B cycling	Ref1:4:CD34+ pre-B cycling	CD34	CD34	precursor B cell
Ref1.5	Ref1:CD34+ Lymphoid UNK	Ref1:5:CD34+ Lymphoid UNK	CD34	CD34	early lymphoid progenitor
Ref1.6	Ref1:CD34+ pre-T	Ref1:6:CD34+ pre-T	CD34	CD34	pro-T cell
Ref1.7	Ref1:CD34+ MDP-1	Ref1:7:CD34+ MDP-1	CD34	CD34	macrophage dendritic cell progenitor
Ref1.8	Ref1:CD34+ MDP-2	Ref1:8:CD34+ MDP-2	CD34	CD34	macrophage dendritic cell progenitor
Ref1.9	Ref1:CD34+ LMPP	Ref1:9:CD34+ LMPP	CD34	CD34	LMPP
Ref4.1	Ref4:CD10+ B cells	Ref4:1:CD10+ B cells	CD34	CD34	precursor B cell
Ref4.11	Ref4:Early erythroid progenitors	Ref4:11:Early erythroid progenitors	CD34	CD34	erythroid progenitor cell
Ref4.14	Ref4:Late erythroid progenitors	Ref4:14:Late erythroid progenitors	CD34	CD34	erythroid progenitor cell
Ref4.16	Ref4:Monocyte progenitors	Ref4:16:Monocyte progenitors	CD34	CD34	granulocyte monocyte progenitor cell
Ref1.10	Ref1:CD34+ HSC	Ref1:10:CD34+ HSC	CD34:HSC	CD34:HSC	hematopoietic stem cell
Ref1.11	Ref1:CD34+ HSC-cycle	Ref1:11:CD34+ HSC-cycle	CD34:HSC	CD34:HSC	hematopoietic stem cell
Ref1.12	Ref1:CD34+ MultiLin	Ref1:12:CD34+ MultiLin	CD34:HSC	CD34:HSC	hematopoietic multipotent progenitor cell
Ref4.12	Ref4:HSPCs	Ref4:12:HSPCs	CD34:HSC	CD34:HSC	hematopoietic stem cell
Ref1.22	Ref1:Follicular B cell	Ref1:22:Follicular B cell	L:B	L:B	follicular B cell
Ref2.11	Ref2:B_Cell_Naive	Ref2:11:B_Cell_Naive	L:B	L:B	naive B cell
Ref2.13	Ref2:B_Cell_Memory	Ref2:13:B_Cell_Memory	L:B	L:B	memory B cell
Ref3.16	Ref3:Mature_B	Ref3:16:Mature_B	L:B	L:B	mature B cell
Ref4.4	Ref4:CD20+ B cells	Ref4:4:CD20+ B cells	L:B	L:B	mature B cell
Ref5.tB	Ref5:tB	Ref5:tB	L:B	L:B	B cell
Ref1.35	Ref1:Plasma Cell	Ref1:35:Plasma Cell	L:B:PC	L:B:PC	plasma cell
Ref2.20	Ref2:Plasma_Cell	Ref2:20:Plasma_Cell	L:B:PC	L:B:PC	plasma cell
Ref2.25	Ref2:Plasma_Cell	Ref2:25:Plasma_Cell	L:B:PC	L:B:PC	plasma cell
Ref3.7	Ref3:Plasma_cells	Ref3:7:Plasma_cells	L:B:PC	L:B:PC	plasma cell
Ref4.18	Ref4:Plasma cells	Ref4:18:Plasma cells	L:B:PC	L:B:PC	plasma cell
Ref5.tPC1	Ref5:tPC1	Ref5:tPC1	L:B:PC	L:B:PC	plasma cell
Ref5.tPC2	Ref5:tPC2	Ref5:tPC2	L:B:PC	L:B:PC	plasma cell
Ref5.tPC3	Ref5:tPC3	Ref5:tPC3	L:B:PC	L:B:PC	plasma cell
Ref5.tPC4	Ref5:tPC4	Ref5:tPC4	L:B:PC	L:B:PC	plasma cell
Ref5.tPC5	Ref5:tPC5	Ref5:tPC5	L:B:PC	L:B:PC	plasma cell
Ref5.tPC6	Ref5:tPC6	Ref5:tPC6	L:B:PC	L:B:PC	plasma cell
Ref1.19	Ref1:NK cells	Ref1:19:NK cells	L:NK	L:NK	natural killer cell
Ref2.1	Ref2:NK_Cell_Resting	Ref2:1:NK_Cell_Resting	L:NK	L:NK	natural killer cell
Ref2.12	Ref2:NK_Cell_Activated	Ref2:12:NK_Cell_Activated	L:NK	L:NK	natural killer cell
Ref4.17	Ref4:Natural killer cells	Ref4:17:Natural killer cells	L:NK	L:NK	natural killer cell
Ref5.tNK1	Ref5:tNK1	Ref5:tNK1	L:NK	L:NK	natural killer cell
Ref5.tNK2	Ref5:tNK2	Ref5:tNK2	L:NK	L:NK	natural killer cell
Ref2.T4	Ref2:T_Cell_CD4_CM	Ref2:T4:T_Cell_CD4_CM	L:T:CD4:CM	L:T:CD4:CM	"central memory CD4-positive, alpha-beta T cell"
Ref7.CD4.C2.ANXA1	Ref7:CD4-C2-ANXA1	Ref7:CD4-C2-ANXA1	L:T:CD4:CM	L:T:CD4:CM	"central memory CD4-positive, alpha-beta T cell"
Ref2.T0	Ref2:T_Cell_CD4_EM	Ref2:T0:T_Cell_CD4_EM	L:T:CD4:EM	L:T:CD4:EM	"effector memory CD4-positive, alpha-beta T cell"
Ref6.CD4..IL7R.	Ref6:CD4+ IL7R+	Ref6:CD4+ IL7R+	L:T:CD4:EM	L:T:CD4:EM	"effector memory CD4-positive, alpha-beta T cell"
Ref6.CD4..RGCC.	Ref6:CD4+ RGCC+	Ref6:CD4+ RGCC+	L:T:CD4:EM	L:T:CD4:EM	"effector memory CD4-positive, alpha-beta T cell"
Ref7.CD4.C3.GNLY	Ref7:CD4-C3-GNLY	Ref7:CD4-C3-GNLY	L:T:CD4:EM	L:T:CD4:EM	"effector memory CD4-positive, alpha-beta T cell"
Ref7.CD4.C7.CXCL13	Ref7:CD4-C7-CXCL13	Ref7:CD4-C7-CXCL13	L:T:CD4:Ex	L:T:CD4:Ex	exhausted T cell
Ref2.T1	Ref2:T_Cell_CD4_Naive	Ref2:T1:T_Cell_CD4_Naive	L:T:CD4:Na??ve	L:T:CD4:Na?ve	"naive thymus-derived CD4-positive, alpha-beta T cell"
Ref4.6	Ref4:CD4+ na????ve T cells	Ref4:6:CD4+ naive T cells	L:T:CD4:Na??ve	L:T:CD4:Na?ve	"naive thymus-derived CD4-positive, alpha-beta T cell"
Ref7.CD4.C1.CCR7	Ref7:CD4-C1-CCR7	Ref7:CD4-C1-CCR7	L:T:CD4:Na??ve	L:T:CD4:Na?ve	"naive thymus-derived CD4-positive, alpha-beta T cell"
Ref2.T15	Ref2:T_Cell_Tfh	Ref2:T15:T_Cell_Tfh	L:T:CD4:Tfh	L:T:CD4:Tfh	T follicular helper cell
Ref6.CD4..CXCL13.	Ref6:CD4+ CXCL13+	Ref6:CD4+ CXCL13+	L:T:CD4:Tfh	L:T:CD4:Tfh	T follicular helper cell
Ref2.T8	Ref2:T_Cell_Treg	Ref2:T8:T_Cell_Treg	L:T:CD4:Treg	L:T:CD4:Treg	"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"
Ref6.CD4..FOXP3.	Ref6:CD4+ FOXP3+	Ref6:CD4+ FOXP3+	L:T:CD4:Treg	L:T:CD4:Treg	"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"
Ref7.CD4.C8.FOXP3	Ref7:CD4-C8-FOXP3	Ref7:CD4-C8-FOXP3	L:T:CD4:Treg	L:T:CD4:Treg	"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"
Ref7.CD4.C9.CTLA4	Ref7:CD4-C9-CTLA4	Ref7:CD4-C9-CTLA4	L:T:CD4:Treg	L:T:CD4:Treg	"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell"
Ref6.CD4..TRM	Ref6:CD4+ TRM	Ref6:CD4+ TRM	L:T:CD4:TRM	L:T:CD4:TRM	Tissue-resident memory
Ref7.CD4.C4.CD69	Ref7:CD4-C4-CD69	Ref7:CD4-C4-CD69	L:T:CD4:TRM	L:T:CD4:TRM	Tissue-resident memory
Ref7.CD4.C5.EOMES	Ref7:CD4-C5-EOMES	Ref7:CD4-C5-EOMES	L:T:CD4:TRM	L:T:CD4:TRM	Tissue-resident memory
Ref7.CD4.C6.GZMA	Ref7:CD4-C6-GZMA	Ref7:CD4-C6-GZMA	L:T:CD4:TRM	L:T:CD4:TRM	Tissue-resident memory
Ref2.T14	Ref2:T_Cell_CD8_CM	Ref2:T14:T_Cell_CD8_CM	L:T:CD8:CM	L:T:CD8:CM	"central memory CD8-positive, alpha-beta T cell"
Ref2.T7	Ref2:T_Cell_CD8_CM	Ref2:T7:T_Cell_CD8_CM	L:T:CD8:CM	L:T:CD8:CM	"central memory CD8-positive, alpha-beta T cell"
Ref2.T11	Ref2:T_Cell_CD8_EM	Ref2:T11:T_Cell_CD8_EM	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref2.T12	Ref2:T_Cell_CD8_EM	Ref2:T12:T_Cell_CD8_EM	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref2.T13	Ref2:T_Cell_CD8_EM	Ref2:T13:T_Cell_CD8_EM	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref2.T5	Ref2:T_Cell_CD8_EM	Ref2:T5:T_Cell_CD8_EM	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref6.CD8..TEM	Ref6:CD8+ TEM	Ref6:CD8+ TEM	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref7.CD8.C2.CD28	Ref7:CD8-C2-CD28	Ref7:CD8-C2-CD28	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref7.CD8.C3.CX3CR1	Ref7:CD8-C3-CX3CR1	Ref7:CD8-C3-CX3CR1	L:T:CD8:EM	L:T:CD8:EM	"effector memory CD8-positive, alpha-beta T cell"
Ref2.T2	Ref2:T_Cell_CD8_TEMRA	Ref2:T2:T_Cell_CD8_TEMRA	L:T:CD8:EM	L:T:CD8:EMRA	"effector memory CD8-positive, alpha-beta T cell"
Ref2.T3	Ref2:T_Cell_CD8_TEMRA	Ref2:T3:T_Cell_CD8_TEMRA	L:T:CD8:EM	L:T:CD8:EMRA	"effector memory CD8-positive, alpha-beta T cell"
