Cell	ImmClassifier_prediction
cell_246	L:B
cell_260	L:T:CD4:Treg
cell_346	L:T:CD4:Treg
cell_188	L:NK
cell_33	L:T:CD4:TRM
cell_13	L:B
cell_48	L:B
cell_273	L:B
cell_314	L:B
cell_6	L:T:CD8:TRM
cell_84	L:T:CD8:EMRA
cell_103	L:T:CD4:TRM
cell_108	L:unconvT:MAIT
cell_220	L:NK
cell_274	L:T:CD4:Treg
cell_285	L:NK
cell_297	L:T:CD4:Treg
cell_359	L:T:CD8:TRM
cell_77	L:T:CD8:EMRA
cell_125	L:NK
cell_36	L:NK
cell_78	L:T:CD4:Ex
cell_211	L:T:CD4:TRM
cell_288	L:unconvT:MAIT
cell_350	L:T:CD4:Treg
cell_82	L:T:CD8:Ex
cell_123	L:T:CD4:Treg
cell_99	M:Neu
cell_177	M:Mono:Mac
cell_215	M:Mono:Mac
cell_58	M:Mono:mDC
cell_128	M:Mono:Mac
cell_139	L:B
cell_247	M:cDC
cell_332	M:Mono:Mac
cell_353	M:cDC
cell_21	M:Neu
cell_22	M:Neu
cell_127	M:Neu
cell_276	M:Neu
cell_335	M:Neu
cell_47	M:Mast
cell_101	M:Eos
cell_190	M:Neu
cell_241	M:Eos
cell_278	M:Mono:Mac
cell_54	M:Mono:Mac
cell_75	M:Mono:Mac
cell_98	M:Mono:Mac
cell_46	M:Mono:Mac
cell_96	M:Mono:Mac
cell_152	M:Mono:Mac
cell_199	M:Mono:Mac
cell_310	M:Mono:Mac
cell_339	L:B:PC
cell_8	M:Neu
cell_203	M:Neu
cell_208	M:Neu
cell_321	M:Neu
cell_331	M:Neu
cell_18	L:T:CD8:EM
cell_124	L:NK
cell_265	L:NK
cell_266	L:T:CD8:EM
cell_163	L:B
cell_154	L:T:CD8:TRM
cell_159	L:T:CD4:TRM
cell_160	L:T:CD8:EM
cell_162	L:T:CD8:TRM
cell_250	L:T:CD8:TRM
cell_91	L:T:CD4:Treg
cell_202	L:T:CD4:TRM
cell_333	L:T:CD4:Treg
cell_25	L:T:CD4:Treg
cell_55	L:T:CD4:Treg
cell_81	L:T:CD4:Tfh
cell_150	L:T:CD4:Treg
cell_226	L:T:CD4:EM
cell_235	L:T:CD4:CM
cell_259	L:T:CD4:TRM
cell_31	L:NK
cell_38	M:cDC
cell_111	L:T:CD4:TRM
cell_133	M:cDC
cell_172	M:Mono:Mac
cell_184	M:Mono:Mac
cell_229	M:pDC
cell_283	L:T:CD4:Treg
cell_109	L:NK
cell_126	L:NK
cell_156	L:NK
cell_173	L:NK
cell_227	L:NK
cell_320	L:NK
cell_51	L:NK
cell_100	L:T:CD8:EMRA
cell_116	L:T:CD8:EM
cell_166	L:NK
cell_194	L:NK
cell_72	M:Neu
cell_171	M:Neu
cell_0	L:T:CD4:Treg
cell_23	L:T:CD4:Treg
cell_71	L:T:CD4:Treg
cell_113	L:T:CD4:Ex
cell_120	L:T:CD4:Treg
cell_239	L:T:CD4:Ex
cell_293	L:T:CD4:Ex
cell_296	L:T:CD4:Treg
cell_303	L:T:CD4:Treg
cell_319	L:T:CD4:Treg
cell_53	L:B:PC
cell_73	L:B
cell_168	L:B
cell_204	L:B
cell_242	L:B
cell_257	L:B
cell_264	L:B
cell_269	L:B
cell_272	L:B:PC
cell_355	L:B
