Cell	ImmClassifier_prediction
PTH13	L:B
PTH1	CD34
PTH20	L:unconvT:gdT
PTH26	CD34
PTH5	L:T:CD4:Naive
PTH8	CD34
TTH22	CD34
TTH28	CD34
TTH2	CD34
TTH37	CD34
TTH48	CD34
TTH4	CD34
PTH44	L:T:CD8:EM
TTH11	CD34
TTH15	CD34
TTH17	CD34
TTH26	CD34
TTH31	L:T:CD4:Naive
TTH39	CD34
TTH43	CD34
TTH45	CD34
TTH8	CD34
PTC141.0205	L:T:CD8:EM
PTC142.0205	L:NK
PTC143.0205	L:T:CD4:Naive
PTC144.0205	L:NK
PTC16.0205	L:B
PTC23.0205	L:T:CD8:EMRA
TTC100.0205	L:T:CD8:TRM
TTC10.0205	L:T:CD8:TRM
TTC2.0205	L:NK
TTC97.0205	L:B
TTC98.0205	L:unconvT:MAIT
TTC99.0205	L:T:CD8:TRM
PTC10.0205	L:T:CD8:EMRA
PTC10.1202	CD34
PTC11.0205	L:T:CD8:EMRA
PTC1.1202	CD34
PTC12.1202	CD34
PTC13.1202	CD34
PTC14.1202	CD34
PTC17.0205	L:T:CD8:EM
PTC17.1202	L:T:CD8:EM
PTC18.1202	CD34
PTC19.1202	L:T:CD8:Naive
PTC20.1202	L:NK
PTC21.1202	L:NK
PTC2.1202	CD34
PTC22.1202	L:T:CD8:EMRA
PTC23.1202	L:NK
PTC24.0205	L:T:CD8:EM
PTC24.1202	L:NK
PTC25.0205	L:T:CD8:EM
PTC26.0205	L:T:CD8:Naive
PTC27.0205	L:T:CD8:EMRA
PTC29.0205	L:T:CD8:EM
PTC3.0205	L:T:CD8:EMRA
PTC34.0205	L:T:CD8:Naive
PTC35.1202	L:T:CD4:Naive
PTC38.0205	L:T:CD8:EMRA
PTC38.1202	L:NK
PTC40.1202	L:B:PC
PTC4.0205	L:T:CD8:EMRA
PTC4.1202	L:T:CD4:Naive
PTC5.0205	L:T:CD8:EMRA
PTC5.1202	L:NK
PTC6.0205	L:T:CD8:EM
PTC6.1202	L:NK
PTC7.1202	L:NK
PTC8.0205	L:T:CD8:EM
PTC8.1202	L:B
PTC9.0205	L:T:CD8:EMRA
PTC9.1202	CD34
PTH1.0205	L:T:CD4:CM
PTH61.0205	L:T:CD4:CM
PTH7.0205	L:T:CD4:Naive
PTH8.0205	L:T:CD4:CM
PTH82.0205	L:B:PC
PTH9.0205	L:T:CD4:CM
PTS1.0205	L:T:CD4:Naive
PTS13.0205	L:T:CD4:CM
PTS22.1202	L:T:CD4:Naive
PTS24.1202	L:B
PTS26.1202	L:T:CD4:Naive
PTS28.1202	L:T:CD4:CM
PTS29.1202	L:T:CD4:Naive
