Cell	ImmClassifier_prediction
HN28_P15_D06_S330_comb	L:B
HN28_P6_G05_S173_comb	CD34
HN26_P14_D11_S239_comb	CD34
HN26_P14_H05_S281_comb	L:T:CD4:Naive
HN26_P25_H09_S189_comb	L:B
HN26_P14_H06_S282_comb	CD34
HN25_P25_C04_S316_comb	L:B
HN26_P25_A11_S107_comb	CD34
HN26_P25_C09_S129_comb	CD34
HNSCC26_P24_H05_S377_comb	CD34
HN25_P5_E10_S58_comb	L:T:CD4:TRM
HN25_P24_B02_S110_comb	CD34
HN25_P25_C01_S313_comb	L:B:PC
HN28_P15_G06_S366_comb	L:T:CD4:CM
HN26_P6_B06_S18_comb	L:T:CD4:Treg
HN25_P5_C05_S29_comb	L:T:CD4:TRM
HN28_P6_D09_S141_comb	CD34
HN26_P5_H01_S85_comb	CD34
HN26_P13_D07_S139_comb	L:B
HN26_P5_E06_S54_comb	CD34
HN26_P26_H05_S377_comb	CD34
HNSCC26_P24_F12_S360_comb	CD34
HNSCC26_P24_F03_S351_comb	CD34
HN26_P6_D08_S44_comb	L:B:PC
HN25_P5_E12_S60_comb	L:T:CD4:Treg
HNSCC26_P24_C01_S313_comb	CD34
HN25_P5_F01_S61_comb	L:T:CD4:Treg
HN26_P5_D12_S48_comb	L:T:CD4:TRM
HN25_P25_C11_S323_comb	L:T:CD4:TRM
HN25_P25_B12_S312_comb	L:T:CD4:CM
HN25_P5_E11_S59_comb	L:T:CD4:Naive
HN26_P5_G11_S83_comb	L:T:CD4:Ex
HNSCC26_P12_G04_S268_comb	L:T:CD4:Ex
HN25_P23_G05_S269_comb	L:T:CD4:Naive
HN26_P25_E02_S146_comb	CD34
HN25_P25_F01_S349_comb	CD34
HN26_P26_E10_S346_comb	CD34
HN26_P6_B04_S16_comb	M:cDC
HN25_P23_C01_S217_comb	L:B
HN28_P6_A09_S105_comb	L:T:CD4:Ex
HN25_P25_E06_S342_comb	CD34
HN25_P23_H09_S285_comb	L:T:CD4:Treg
HN28_P6_H07_S187_comb	CD34
HNSCC26_P24_D01_S325_comb	CD34
HN25_P24_H02_S182_comb	L:T:CD4:Treg
HN26_P13_E03_S147_comb	CD34
HN26_P25_B03_S111_comb	CD34
HNSCC26_P12_D11_S239_comb	L:T:CD4:Treg
HN28_P6_B03_S111_comb	CD34
HN26_P5_H08_S92_comb	M:cDC
HN25_P5_B06_S18_comb	L:T:CD4:Naive
HN25_P5_B04_S16_comb	M:cDC
HNSCC26_P24_D02_S326_comb	L:B
HN25_P5_A05_S5_comb	L:B
HN26_P5_D09_S45_comb	M:Mast
HNSCC26_P12_G11_S275_comb	L:T:CD4:TRM
HN26_P25_A01_S97_comb	CD34
HN26_P25_A03_S99_comb	CD34
HNSCC26_P12_H11_S287_comb	L:T:CD4:Treg
HN25_P24_F06_S162_comb	L:T:CD4:TRM
HN26_P6_A08_S8_comb	M:cDC
HNSCC26_P24_H10_S382_comb	L:B
HN25_P5_B12_S24_comb	L:T:CD4:CM
HN28_P6_A02_S98_comb	CD34
HN25_P24_G02_S170_comb	CD34
HN26_P13_C04_S124_comb	CD34
HN25_P25_A12_S300_comb	CD34
HN26_P14_C05_S221_comb	CD34
HN25_P24_H04_S184_comb	L:T:CD4:CM
HN26_P25_A07_S103_comb	M:Mono:mDC
HNSCC26_P12_H07_S283_comb	M:cDC
HN26_P25_C02_S122_comb	L:B
HN26_P26_F06_S354_comb	CD34
HN28_P6_H10_S190_comb	L:T:CD4:CM
HN25_P25_C07_S319_comb	L:T:CD4:Treg
HNSCC26_P24_C09_S321_comb	L:B
HNSCC26_P24_F08_S356_comb	L:T:CD4:Naive
HN28_P6_G06_S174_comb	L:B
HN25_P5_H09_S93_comb	L:T:CD4:Naive
HN26_P14_A02_S194_comb	L:T:CD4:Ex
HNSCC26_P24_B09_S309_comb	CD34
HN26_P13_F04_S160_comb	L:T:CD4:Treg
HN25_P24_A08_S104_comb	L:T:CD4:TRM
HN26_P13_F07_S163_comb	L:T:CD4:Ex
HN26_P13_D06_S138_comb	CD34
HN28_P15_B12_S312_comb	CD34
HN28_P15_D11_S335_comb	L:T:CD4:CM
HN28_P15_C09_S321_comb	L:B
HN26_P25_G03_S171_comb	L:B
HN28_P6_C01_S121_comb	L:B
HN25_P23_H02_S278_comb	L:B:PC
HN26_P25_E03_S147_comb	CD34
HN26_P5_F06_S66_comb	L:B
HN28_P15_A01_S289_comb	L:T:CD4:TRM
